8075;6;18;4;74;8255;01
8015;44;5;5;92;19035;02
8770;18;25;6;60;5800;01
8835;23;2;9;97;24565;01
8670;37;6;2;54;14570;01
8465;49;3;7;60;9870;01
8040;6;17;6;87;32875;01
8180;18;1;8;63;6890;02
8705;44;30;10;14;3015;02
8940;37;12;11;56;47195;01
8540;8;23;6;23;19705;02
8865;12;13;10;39;9205;02
8165;12;28;8;75;44990;02
8010;37;9;1;98;3835;01
8205;8;19;4;19;540;01
8745;12;26;4;51;63250;02
8400;23;27;6;57;3780;02
8100;23;12;3;35;37125;01
8990;33;11;4;91;18725;02
8985;33;8;10;21;190;02
8100;33;8;10;21;190;01 NO
